User Rating Count,Price,Age Rating,Size,game_age,last_update,maintaning_period,purchases_count,lowest_purchase,highest_purchase,average_purchase,name_word_count,name_sia,sub_word_count,sub_sia,desc_word_count,excitement_score,attractive_score,icon_objects,Icon1,Icon2,Icon3,Icon4,Icon5,Icon6,Icon7,Icon8,dev_freq,dev_avg,lowest_review,highest_review,average_review
205,5.99,4,298156032,2747,1451,1296,1,0,0,0,1,0,1,0,410,0.168,0,298,0.131746314,0.210856101,0.015924774,0.124880381,-0.182913457,0.078807831,-0.099092608,0.113433365,1,1.504654456,0.8655,0.9754,0.9134625
9,0,4,29981696,2041,1906,135,1,0,0,0,2,0,5,0,60,0.188,0,211,-0.023395975,-0.315197246,0.085540476,0.276480125,0.270802362,0.031154141,-0.121362974,-0.023832939,1,1.504654456,0,0.8456,0.470966667
12,1.99,4,223058944,4117,1881,2236,1,0,0,0,3,0,4,0,85,0.141,0,1114,-0.05638776,-0.259593761,0.207190614,0.219302063,-0.012219437,0.016418519,-0.15511338,0.118834614,1,1.504654456,-0.4215,0.9915,0.689528571
6,0,4,49547264,3439,2361,1078,1,0.99,0.99,0.99,3,0.825,1,0,127,0.356,0,1744,-0.201311146,0.014205363,0.073113644,0.194711362,-0.105976524,0.057387758,-0.267100175,0.160962888,1,1.504654456,0.1779,0.8689,0.511225
59,0,4,24093696,2987,1616,1371,1,0,0,0,2,0,1,0,107,0.311,0,1844,0.060307269,-0.011251947,-0.050730937,-0.042768401,0.150793009,-0.00510723,-0.005379534,0.04110813,5,1.526667266,-0.4472,0.9875,0.537111111
21934,0,12,186245120,3169,1480,1689,10,4.99,99.99,21.99,2,0,4,0,292,0.218,0.005952381,1853,-0.307986561,0.130839102,0.045686416,0.05318686,-0.048638523,-0.04608191,0.061440828,-0.17780715,1,1.504654456,-0.8836,0.9903,0.9605375
157,0,4,339637248,1980,1437,543,3,3.99,5.99,5.323333333,3,0,3,0,203,0.299,0.003773585,5366,-0.343780519,0.128285953,-0.029770556,-0.059993747,0.027166689,0.016588982,-0.053595259,0.054310101,5,1.654995786,0,0.9819,0.71769
16,3.99,9,19463168,2000,1985,15,1,0,0,0,6,0.674,1,0,106,0.264,0,573,0.576770793,-0.188610978,-0.063886068,-0.020084096,0.022303874,0.362435566,0.027260396,-0.065790128,6,1.384068687,0.2732,0.987,0.688822222
14,0,9,14385152,3337,2215,1122,10,0.99,8.99,3.29,3,0,1,0,84,0.27,0,3496,0.270451197,0.109340956,-0.187449121,-0.005212708,0.076448003,0.007486823,0.079619473,-0.011621374,2,1.638857086,0.0772,0.9638,0.59105
24,0,4,104600576,4014,1537,2477,1,0,0,0,1,0,3,0,208,0.072,0,2103,-0.261666581,-0.094933953,-0.050783063,-0.077983334,-0.143413085,0.048515302,-0.003395155,-0.071657168,2,1.349806589,-0.3612,0.9657,0.79804
424,11.99,12,2547534848,1615,1482,133,1,0,0,0,1,0,5,0,308,0.135,0.002645503,6131,-0.318937484,0.038911392,-0.122348718,-0.049638329,0.042714763,-0.011472203,-0.033242421,0.023629887,4,1.649511824,-0.533,0.9917,0.9356
2960,0,4,189554688,3035,1430,1605,10,2.99,14.99,5.59,5,0,5,0,424,0.334,0.002079002,5027,-0.070336013,0.091050881,-0.125822449,-0.011516749,-0.081498618,-0.098812327,-0.039903787,-0.083801659,5,1.590831526,-0.9019,0.9962,0.83301
272,1.99,4,20567040,2014,1982,32,1,0,0,0,2,0,6,0,103,0.219,0,1883,0.75162661,0.142021032,0.024935102,-0.02704194,0.082493148,0.136167941,-0.067079002,0.049024865,1,1.504654456,0.2732,0.9925,0.77168
648,0,12,1866854400,1388,1388,0,10,2.99,99.99,34.09,1,0,3,0.623,214,0.229,0,5411,-0.265701915,-0.116087614,-0.207930708,-0.062942784,0.085312218,-0.042538315,-0.003367079,0.009585357,2,1.494331838,-0.7354,0.9912,0.5657
72,0,4,87182336,2882,2165,717,1,1.99,1.99,1.99,8,0,5,0.452,162,0.238,0.004901961,5880,-0.267497643,-0.104138293,-0.19527339,-0.013309522,-0.045685899,-0.033559555,-0.004856627,0.052560848,4,1.649511824,0.8074,0.978,0.962766667
62,0,12,65179648,2613,2567,46,1,0,0,0,6,0.896,1,0,631,0.208,0.00265252,3101,-0.224514729,0.079184413,-0.123301154,0.244013682,0.07073604,-0.073989903,-0.033978298,-0.136577692,6,1.328766649,-0.6705,0.8221,0.32531
827,2.99,12,173205504,4093,1393,2700,6,1.99,1.99,1.99,3,0.565,1,0,127,0.167,0,2268,-0.137617462,-0.002289774,-0.036598768,-0.005718553,-0.198926032,-0.05372064,-0.091350774,0.056397014,19,1.252162728,-0.9064,0.6571,0.14213
2072,0,4,62636032,3651,1825,1826,10,4.99,99.99,34.99,4,0.565,3,0.565,119,0.312,0.007246377,2297,0.129424799,0.132292687,-0.244486839,0.137369413,0.088411444,-0.048987648,0.048931262,0.034646568,1,1.504654456,-0.8074,0.9329,0.547611111
8545,0,12,85752832,4344,1388,2956,3,3.99,7.99,6.656666667,3,0,4,0.762,216,0.237,0,304,0.743744357,0.083120841,0.141985211,-0.023676416,0.075102792,0.052278502,0.082436036,0.07017619,1,1.504654456,0.161,0.9904,0.95228
1861,0,12,90400768,2652,1853,799,9,1.99,14.99,5.878888889,4,0.556,4,0.583,127,0.355,0,2402,0.419541224,0.06664931,-0.154243966,-0.027984763,-0.016799205,0.067997502,0.069238743,0.018825048,1,1.504654456,-0.5747,0.9916,0.56712
14073,0,9,115074048,5150,1397,3753,10,2.99,99.99,26.79,3,0,3,0,366,0.198,0,1211,0.351196892,0.003139659,-0.09467237,0.005314101,-0.044945042,0.284488182,0.033935658,-0.116258753,2,1.494331838,0.5574,0.9983,0.971545455
20527,4.99,9,800476160,2076,1530,546,10,2.99,14.99,5.89,2,0,3,0.636,361,0.367,0.002415459,1802,-0.146214205,0.075824264,-0.098193895,-0.021436402,-0.067736819,-0.005200733,-0.027613446,-0.128608085,5,1.654995786,0.8939,0.9989,0.99345
