iter	MultiClass
0	1.087853754
1	1.07803609
2	1.067863413
3	1.057072199
4	1.047247093
5	1.03711594
6	1.028110125
7	1.020286351
8	1.01122875
9	1.002682132
10	0.9945198879
11	0.9865319214
12	0.9785674221
13	0.9704731475
14	0.9630545946
15	0.9557644424
16	0.9490874861
17	0.9426840538
18	0.93641984
19	0.9298327407
20	0.9229247861
21	0.916431563
22	0.9110625428
23	0.9052970535
24	0.8994635066
25	0.8939828674
26	0.8881837073
27	0.8824582986
28	0.8772509276
29	0.8724996082
30	0.8676325248
31	0.8626598369
32	0.8576762829
33	0.8536915871
34	0.8489864729
35	0.8445840605
36	0.8405449528
37	0.8364022034
38	0.8324680507
39	0.8279764756
40	0.8237942619
41	0.8196295585
42	0.8155187815
43	0.8120822457
44	0.8082876106
45	0.8046798116
46	0.8012427294
47	0.7977851202
48	0.7943052323
49	0.791280627
50	0.7877929472
51	0.7852460761
52	0.7818990698
53	0.7789098655
54	0.7762112443
55	0.7730905422
56	0.7703704279
57	0.7675653478
58	0.764910553
59	0.7623825058
60	0.760361142
61	0.7579062023
62	0.7553235121
63	0.7530243838
64	0.7507906417
65	0.7483370605
66	0.7458830571
67	0.7437215155
68	0.7415322035
69	0.7393345258
70	0.737358586
71	0.735061648
72	0.7330279524
73	0.7310456007
74	0.7291345561
75	0.727203667
76	0.7253572335
77	0.7234974279
78	0.7216979971
79	0.7200013031
80	0.7182140193
81	0.7164925712
82	0.7149107497
83	0.7132422488
84	0.7116694525
85	0.7100321342
86	0.7086438691
87	0.7072827513
88	0.7057297969
89	0.7043564713
90	0.7028821763
91	0.7015724171
92	0.700289036
93	0.699101431
94	0.6978486949
95	0.6966540264
96	0.6952997604
97	0.6941560094
98	0.6929759603
99	0.6917782753
100	0.6904920363
101	0.6893474176
102	0.6882384644
103	0.6871358506
104	0.6861271039
105	0.6849584363
106	0.6838887887
107	0.6829270646
108	0.681902839
109	0.6807218525
110	0.6795007623
111	0.6784099841
112	0.6772685277
113	0.6762238461
114	0.6752221987
115	0.6742532491
116	0.6734300213
117	0.6725391789
118	0.6716824728
119	0.6708156943
120	0.669944107
121	0.6692094848
122	0.6684224951
123	0.6675863115
124	0.6667558739
125	0.6659111021
126	0.6652288589
127	0.6643498944
128	0.6634710831
129	0.6627846751
130	0.6620488855
131	0.6612710791
132	0.6604355675
133	0.6597037746
134	0.6590856057
135	0.6582527413
136	0.6575788742
137	0.6567114387
138	0.65606851
139	0.6554353866
140	0.6546178841
141	0.6539148384
142	0.6532662834
143	0.6525897186
144	0.652001265
145	0.651369636
146	0.6507633657
147	0.6501572427
148	0.6496637132
149	0.6490849786
150	0.6485780704
151	0.6480935106
152	0.6475502217
153	0.6470012912
154	0.6464422016
155	0.6458740699
156	0.6453279624
157	0.6448577939
158	0.6443939832
159	0.6438390945
160	0.6432396597
161	0.6428287324
162	0.6422748914
163	0.6417884759
164	0.6413074391
165	0.6407695839
166	0.6403728596
167	0.6398792149
168	0.6394276049
169	0.638946144
170	0.6384250928
171	0.6380639673
172	0.6376419449
173	0.6372811564
174	0.6368974272
175	0.6364669491
176	0.6360399102
177	0.6355741636
178	0.6351494268
179	0.6347340949
180	0.6343351703
181	0.6339994172
182	0.633555207
183	0.6332376426
184	0.6329033395
185	0.632607044
186	0.6322466872
187	0.6318770202
188	0.6313993078
189	0.6310062329
190	0.630632644
191	0.6302645885
192	0.6299505338
193	0.6296180936
194	0.6292153327
195	0.6288674913
196	0.6284473391
197	0.6281383082
198	0.6278129709
199	0.6273949085
200	0.627016415
201	0.6266840622
202	0.6264235146
203	0.6260334303
204	0.625646705
205	0.6253425148
206	0.6250285916
207	0.6247753112
208	0.6243918423
209	0.624130527
210	0.6237866772
211	0.6234089033
212	0.6231163496
213	0.6228804078
214	0.6226558332
215	0.622323511
216	0.6221251778
217	0.6218462406
218	0.621612791
219	0.6213882981
220	0.6211652386
221	0.6209458325
222	0.6207292763
223	0.6204026805
224	0.6201505438
225	0.6198789894
226	0.6196610005
227	0.6194301238
228	0.6191693379
229	0.6189346613
230	0.6186390254
231	0.6183689021
232	0.6181597866
233	0.6179130215
234	0.61771171
235	0.6175095383
236	0.6172702909
237	0.6170617907
238	0.6168416293
239	0.6166056948
240	0.6163668364
241	0.6161593207
242	0.6158925652
243	0.6156544669
244	0.6154135802
245	0.6152098932
246	0.6149967157
247	0.614733909
248	0.6144742211
249	0.6142434276
250	0.6140856371
251	0.6138512649
252	0.6136758548
253	0.6134185667
254	0.6132074932
255	0.6130129324
256	0.612811446
257	0.6126362571
258	0.6124359707
259	0.6122054472
260	0.6119984303
261	0.6117819816
262	0.6115533262
263	0.6113580233
264	0.6111955835
265	0.6109963956
266	0.6108393506
267	0.6106216433
268	0.6104263186
269	0.6101861268
270	0.6100219508
271	0.6098299696
272	0.6096669154
273	0.6095174128
274	0.6093192746
275	0.6091059385
276	0.608890723
277	0.6087266385
278	0.6085660782
279	0.6083277029
280	0.6081869818
281	0.6079916519
282	0.6078431901
283	0.6076535233
284	0.6074988924
285	0.6073423649
286	0.6071976685
287	0.607009194
288	0.6068201675
289	0.6066477567
290	0.6064806178
291	0.6063068853
292	0.6061499498
293	0.6059750487
294	0.6057884278
295	0.6056376462
296	0.6054827757
297	0.6053607363
