iter	Passed	Remaining
0	3	3750
1	6	3789
2	10	3734
3	14	3903
4	18	3970
5	21	3941
6	24	3817
7	27	3743
8	30	3708
9	33	3638
10	36	3653
11	40	3634
12	42	3588
13	46	3571
14	49	3597
15	52	3583
16	55	3552
17	60	3640
18	63	3630
19	67	3623
20	69	3592
21	73	3579
22	75	3551
23	79	3562
24	82	3557
25	86	3560
26	89	3558
27	92	3549
28	95	3542
29	99	3537
30	102	3518
31	104	3503
32	108	3502
33	112	3522
34	115	3517
35	119	3525
36	122	3505
37	125	3499
38	129	3514
39	132	3506
40	137	3543
41	140	3536
42	145	3575
43	148	3572
44	151	3554
45	154	3537
46	157	3523
47	160	3521
48	163	3510
49	166	3502
50	169	3492
51	172	3479
52	177	3497
53	179	3484
54	183	3482
55	186	3468
56	189	3463
57	192	3451
58	195	3448
59	198	3445
60	201	3437
61	204	3426
62	208	3429
63	211	3421
64	214	3409
65	216	3399
66	220	3392
67	223	3384
68	226	3387
69	231	3409
70	234	3403
71	238	3399
72	240	3389
73	244	3391
74	247	3388
75	250	3378
76	253	3369
77	256	3361
78	259	3357
79	263	3359
80	266	3353
81	269	3351
82	273	3348
83	276	3344
84	279	3337
85	282	3333
86	285	3324
87	288	3319
88	292	3323
89	295	3315
90	298	3308
91	301	3301
92	303	3291
93	307	3291
94	311	3292
95	315	3295
96	317	3286
97	321	3287
98	325	3290
99	328	3288
100	331	3281
101	334	3273
102	337	3266
103	340	3264
104	343	3257
105	347	3258
106	350	3254
107	353	3250
108	356	3245
109	360	3244
110	363	3240
111	366	3233
112	369	3227
113	372	3225
114	375	3220
115	378	3213
116	381	3208
117	385	3205
118	389	3207
119	392	3207
120	396	3206
121	399	3200
122	402	3197
123	406	3196
124	408	3189
125	412	3186
126	415	3183
127	418	3177
128	422	3177
129	425	3177
130	428	3170
131	431	3163
132	434	3157
133	437	3154
134	441	3153
135	445	3157
136	448	3155
137	452	3152
138	455	3149
139	459	3149
140	462	3146
141	465	3140
142	468	3136
143	472	3135
144	475	3133
145	480	3141
146	484	3140
147	488	3140
148	491	3135
149	494	3129
150	498	3133
151	501	3127
152	504	3124
153	508	3123
154	511	3117
155	514	3111
156	516	3104
157	520	3102
158	523	3097
159	526	3095
160	530	3092
161	533	3086
162	535	3079
163	539	3080
164	544	3087
165	547	3081
166	551	3078
167	554	3075
168	557	3069
169	560	3067
170	563	3063
171	567	3059
172	570	3056
173	573	3052
174	576	3046
175	579	3043
176	583	3041
177	586	3038
178	590	3036
179	593	3031
180	596	3026
181	598	3021
182	601	3016
183	604	3010
184	608	3007
185	611	3004
186	614	3001
187	618	2998
188	621	2995
189	624	2992
190	627	2986
191	631	2984
192	633	2979
193	637	2977
194	642	2980
195	645	2978
196	648	2972
197	651	2969
198	654	2963
199	657	2960
200	661	2956
201	664	2955
202	667	2951
203	670	2946
204	674	2943
205	677	2942
206	681	2939
207	684	2937
208	687	2932
209	691	2929
210	693	2923
211	696	2918
212	700	2915
213	704	2915
214	707	2910
215	709	2905
216	712	2900
217	715	2895
218	719	2894
219	722	2889
220	725	2885
221	728	2881
222	732	2878
223	734	2874
224	738	2871
225	741	2867
226	744	2863
227	747	2859
228	750	2855
229	754	2852
230	757	2849
231	760	2844
232	762	2838
233	765	2834
234	769	2833
235	772	2829
236	776	2826
237	778	2821
238	781	2816
239	785	2815
240	789	2814
241	792	2811
242	796	2808
243	799	2803
244	802	2801
245	805	2797
246	809	2794
247	811	2789
248	814	2784
249	817	2780
250	822	2780
251	825	2777
252	828	2773
253	832	2772
254	835	2768
255	838	2763
256	841	2760
257	844	2756
258	848	2755
259	852	2753
260	855	2750
261	858	2747
262	862	2744
263	865	2742
264	868	2737
265	872	2735
266	875	2730
267	877	2725
268	881	2723
269	884	2719
270	887	2714
271	890	2709
272	893	2705
273	896	2704
274	902	2706
275	905	2703
276	908	2698
277	911	2694
278	914	2690
279	917	2686
280	920	2682
281	923	2678
282	926	2674
283	929	2670
284	932	2667
285	936	2665
286	939	2661
287	943	2659
288	947	2658
289	950	2656
290	953	2651
291	956	2647
292	959	2642
293	963	2640
294	966	2637
295	969	2634
296	973	2630
297	977	2629
298	980	2627
299	983	2623
300	987	2620
301	990	2617
302	994	2615
303	997	2612
304	1001	2610
305	1005	2608
306	1008	2603
307	1010	2599
308	1014	2598
309	1019	2597
310	1022	2594
311	1025	2590
312	1028	2587
313	1032	2583
314	1035	2580
315	1038	2575
316	1041	2572
317	1044	2569
318	1048	2566
319	1051	2562
320	1054	2558
321	1057	2554
322	1060	2550
323	1063	2547
324	1067	2544
325	1070	2541
326	1073	2537
327	1076	2534
328	1080	2531
329	1084	2529
330	1087	2527
331	1090	2523
332	1093	2519
333	1097	2517
334	1100	2513
335	1103	2509
336	1106	2505
337	1110	2503
338	1113	2499
339	1116	2495
340	1119	2492
341	1122	2488
342	1126	2485
343	1129	2482
344	1132	2479
345	1135	2474
346	1139	2472
347	1142	2468
348	1145	2465
349	1148	2461
350	1151	2458
351	1155	2454
352	1159	2452
353	1162	2450
354	1165	2445
355	1169	2443
356	1172	2439
357	1176	2438
358	1180	2436
359	1183	2432
360	1186	2429
361	1190	2427
362	1194	2425
363	1198	2423
364	1202	2420
365	1204	2416
366	1208	2413
367	1211	2410
368	1214	2406
369	1217	2402
370	1221	2399
371	1224	2396
372	1228	2394
373	1231	2390
374	1234	2386
375	1237	2382
376	1240	2378
377	1243	2375
378	1247	2373
379	1250	2369
380	1253	2364
381	1256	2362
382	1259	2357
383	1262	2354
384	1265	2350
385	1268	2347
386	1271	2342
387	1275	2340
388	1278	2337
389	1281	2333
390	1285	2330
391	1288	2327
392	1292	2324
393	1295	2320
394	1298	2316
395	1301	2313
396	1304	2310
397	1308	2307
398	1311	2304
399	1315	2301
400	1318	2297
401	1322	2295
402	1326	2294
403	1329	2291
404	1333	2288
405	1337	2285
406	1340	2282
407	1343	2279
408	1346	2275
409	1349	2271
410	1352	2267
411	1356	2264
412	1359	2260
413	1362	2257
414	1365	2253
415	1368	2249
416	1371	2246
417	1375	2243
418	1378	2239
419	1381	2236
420	1384	2232
421	1387	2229
422	1391	2227
423	1394	2222
424	1397	2218
425	1399	2214
426	1402	2210
427	1405	2207
428	1408	2203
429	1412	2200
430	1416	2198
431	1420	2197
432	1425	2195
433	1428	2191
434	1432	2189
435	1435	2185
436	1438	2182
437	1442	2179
438	1445	2175
439	1447	2171
440	1450	2167
441	1453	2164
442	1457	2161
443	1460	2158
444	1463	2154
445	1467	2151
446	1470	2147
447	1473	2145
448	1476	2141
449	1479	2137
450	1483	2134
451	1486	2131
452	1490	2128
453	1493	2124
454	1496	2120
455	1499	2117
456	1502	2114
457	1506	2111
458	1509	2108
459	1513	2105
460	1516	2101
461	1519	2097
462	1522	2094
463	1525	2090
464	1529	2088
465	1533	2085
466	1536	2082
467	1540	2079
468	1543	2076
469	1546	2073
470	1550	2071
471	1553	2067
472	1557	2064
473	1560	2060
474	1564	2057
475	1566	2054
476	1570	2051
477	1574	2048
478	1577	2045
479	1581	2042
480	1584	2039
481	1587	2035
482	1591	2032
483	1594	2029
484	1597	2025
485	1600	2022
486	1605	2020
487	1608	2017
488	1611	2014
489	1614	2010
490	1618	2008
491	1622	2005
492	1626	2002
493	1628	1998
494	1632	1994
495	1635	1991
496	1638	1988
497	1641	1984
498	1644	1980
499	1647	1976
500	1650	1973
501	1653	1969
502	1656	1966
503	1659	1962
504	1663	1960
505	1666	1956
506	1670	1953
507	1673	1949
508	1676	1946
509	1679	1943
510	1683	1939
511	1686	1936
512	1689	1932
513	1691	1928
514	1694	1925
515	1698	1921
516	1701	1918
517	1704	1915
518	1707	1911
519	1710	1907
520	1713	1904
521	1716	1901
522	1719	1897
523	1722	1893
524	1725	1889
525	1728	1886
526	1731	1883
527	1735	1880
528	1738	1876
529	1741	1873
530	1744	1869
531	1748	1866
532	1751	1863
533	1755	1860
534	1759	1857
535	1762	1854
536	1765	1850
537	1768	1847
538	1772	1844
539	1775	1841
540	1778	1838
541	1782	1834
542	1785	1831
543	1788	1828
544	1791	1824
545	1794	1820
546	1798	1818
547	1803	1816
548	1806	1812
549	1809	1809
550	1811	1805
551	1814	1801
552	1818	1798
553	1821	1795
554	1824	1791
555	1827	1788
556	1830	1784
557	1833	1781
558	1836	1777
559	1840	1775
560	1844	1771
561	1847	1768
562	1850	1764
563	1853	1761
564	1856	1757
565	1859	1754
566	1862	1751
567	1867	1749
568	1870	1745
569	1873	1741
570	1876	1738
571	1880	1735
572	1884	1732
573	1887	1729
574	1890	1726
575	1893	1722
576	1896	1718
577	1899	1715
578	1903	1712
579	1905	1708
580	1909	1705
581	1912	1702
582	1916	1699
583	1919	1695
584	1922	1692
585	1925	1688
586	1928	1685
587	1932	1682
588	1934	1678
589	1938	1675
590	1941	1671
591	1945	1669
592	1948	1666
593	1951	1662
594	1954	1658
595	1957	1654
596	1960	1651
597	1963	1648
598	1966	1644
599	1969	1641
600	1972	1637
601	1976	1634
602	1979	1631
603	1982	1628
604	1986	1625
605	1989	1621
606	1993	1618
607	1996	1615
608	1999	1612
609	2002	1608
610	2005	1605
611	2008	1601
612	2011	1598
613	2014	1594
614	2018	1591
615	2021	1588
616	2024	1584
617	2028	1581
618	2031	1578
619	2034	1575
620	2038	1572
621	2042	1569
622	2045	1565
623	2049	1563
624	2052	1559
625	2054	1555
626	2057	1552
627	2062	1549
628	2064	1546
629	2067	1542
630	2070	1539
631	2074	1535
632	2077	1532
633	2080	1529
634	2084	1526
635	2087	1522
636	2091	1519
637	2094	1516
638	2097	1513
639	2100	1509
640	2103	1505
641	2106	1502
642	2111	1500
643	2114	1497
644	2117	1493
645	2120	1490
646	2123	1486
647	2126	1483
648	2131	1481
649	2134	1477
650	2137	1474
651	2142	1472
652	2145	1468
653	2149	1465
654	2152	1462
655	2156	1459
656	2160	1456
657	2162	1452
658	2165	1449
659	2168	1445
660	2173	1443
661	2176	1440
662	2179	1436
663	2182	1433
664	2185	1429
665	2189	1426
666	2193	1423
667	2196	1420
668	2200	1417
669	2203	1414
670	2206	1410
671	2210	1407
672	2214	1405
673	2217	1401
674	2220	1397
675	2223	1394
676	2226	1391
677	2229	1387
678	2232	1384
679	2235	1380
680	2238	1377
681	2242	1374
682	2245	1371
683	2249	1367
684	2252	1364
685	2255	1361
686	2258	1357
687	2262	1354
688	2265	1351
689	2268	1347
690	2271	1344
691	2277	1342
692	2280	1339
693	2283	1335
694	2286	1332
695	2290	1329
696	2293	1325
697	2297	1323
698	2301	1320
699	2305	1317
700	2308	1313
701	2311	1310
702	2314	1306
703	2317	1303
704	2320	1300
705	2323	1296
706	2327	1294
707	2331	1290
708	2333	1287
709	2337	1283
710	2341	1281
711	2344	1277
712	2347	1274
713	2350	1270
714	2353	1267
715	2356	1264
716	2360	1260
717	2363	1257
718	2366	1254
719	2370	1250
720	2372	1247
721	2375	1243
722	2378	1240
723	2382	1237
724	2385	1234
725	2388	1230
726	2391	1227
727	2394	1223
728	2397	1220
729	2400	1216
730	2403	1213
731	2406	1209
732	2409	1206
733	2412	1203
734	2415	1199
735	2418	1196
736	2421	1192
737	2425	1189
738	2428	1186
739	2431	1182
740	2435	1179
741	2439	1176
742	2442	1173
743	2445	1170
744	2448	1166
745	2452	1163
746	2456	1160
747	2460	1157
748	2463	1154
749	2465	1150
750	2469	1147
751	2472	1144
752	2475	1140
753	2478	1137
754	2481	1134
755	2486	1131
756	2489	1128
757	2493	1124
758	2495	1121
759	2498	1117
760	2502	1114
761	2505	1111
762	2508	1107
763	2511	1104
764	2515	1101
765	2518	1098
766	2522	1094
767	2525	1091
768	2528	1088
769	2531	1084
770	2534	1081
771	2537	1078
772	2541	1075
773	2544	1071
774	2548	1068
775	2551	1065
776	2555	1062
777	2558	1058
778	2561	1055
779	2564	1052
780	2568	1049
781	2571	1045
782	2574	1042
783	2577	1038
784	2581	1035
785	2584	1032
786	2587	1029
787	2590	1025
788	2593	1022
789	2597	1019
790	2600	1015
791	2603	1012
792	2606	1009
793	2609	1005
794	2612	1002
795	2616	999
796	2619	995
797	2622	992
798	2625	989
799	2628	985
800	2632	982
