iter	RMSE
0	0.642128256
1	0.6307317005
2	0.6212248395
3	0.6119017674
4	0.6043669043
5	0.5953074569
6	0.5890790281
7	0.5826178916
8	0.5766734137
9	0.5715920668
10	0.5661231775
11	0.5624434061
12	0.5575661762
13	0.5534918259
14	0.5490127349
15	0.5453200846
16	0.5421319277
17	0.5391184766
18	0.5360793579
19	0.5340655485
20	0.5314260768
21	0.5287749742
22	0.5265660914
23	0.5250971442
24	0.5236072515
25	0.5219196986
26	0.5204936948
27	0.519010679
28	0.5175163278
29	0.5162167069
30	0.515050453
31	0.5135292631
32	0.5124509237
33	0.5111079399
34	0.509969043
35	0.5088578267
36	0.5079378978
37	0.5069736992
38	0.5061674512
39	0.5051298463
40	0.504409314
41	0.5035813678
42	0.5024435826
43	0.5019890689
44	0.5010042596
45	0.5003534017
46	0.4996312956
47	0.4987861256
48	0.4983048294
49	0.4977613414
50	0.4971433889
51	0.4968701757
52	0.4964307337
53	0.4959300954
54	0.4953817501
55	0.4949189553
56	0.4945792359
57	0.4940815201
58	0.4935364298
59	0.4926717309
60	0.49210479
61	0.4917610785
62	0.4912398218
63	0.4903742629
64	0.4897970284
65	0.4892927117
66	0.4889019219
67	0.4884769678
68	0.4880054429
69	0.4875056629
70	0.4869766925
71	0.4865373188
72	0.4860874307
73	0.485821461
74	0.4852449857
75	0.4849626933
76	0.4846535558
77	0.4842735956
78	0.4840551269
79	0.4835794458
80	0.4830722452
81	0.4829345156
82	0.4824859969
83	0.4819057034
84	0.4817504176
85	0.4813112904
86	0.4807154761
87	0.4803913068
88	0.4800478541
89	0.4796094926
90	0.4787669188
91	0.4785751338
92	0.4783667847
93	0.4781498313
94	0.4778982506
95	0.4774749609
96	0.477003644
97	0.4768579412
98	0.4767374595
99	0.476428503
100	0.4761270891
101	0.475881991
102	0.4755778034
103	0.4754219642
104	0.4750464876
105	0.4747386321
106	0.4742031007
107	0.4740498622
108	0.4737839867
109	0.4735008616
110	0.4732778299
111	0.4731466888
112	0.4727030327
113	0.4723155001
114	0.4720195192
115	0.4715089079
116	0.4711684513
117	0.4708006275
118	0.4703961217
119	0.4701406313
120	0.4696294829
121	0.4690901359
122	0.4687570712
123	0.4684724756
124	0.4682985089
125	0.4680775879
126	0.4677790067
127	0.4676958369
128	0.4673129854
129	0.4671269349
130	0.4668672032
131	0.4665282328
132	0.4662535888
133	0.4661056756
134	0.4658682433
135	0.4655375642
136	0.4652825782
137	0.4649760811
138	0.4646808096
139	0.4644593218
140	0.4640665187
141	0.4635716027
142	0.463178999
143	0.4629194303
144	0.4627779689
145	0.4624696613
146	0.4623531196
147	0.4620412514
148	0.461606222
149	0.4609797506
150	0.4608427373
151	0.4606496648
152	0.4604139409
153	0.4602606484
154	0.4600713921
155	0.4596055239
156	0.4592616605
157	0.4590079008
158	0.4587812073
159	0.4586149668
160	0.458314432
161	0.4582133064
162	0.4579643712
163	0.4577420726
164	0.4573176035
165	0.4570585125
166	0.456458565
167	0.456326236
168	0.4559253258
169	0.4552983178
170	0.4547934857
171	0.4544472857
172	0.454214632
173	0.4539419462
174	0.4536100835
175	0.453341384
176	0.4530543525
177	0.4527381967
178	0.4525726225
179	0.4523229028
180	0.4518989539
181	0.45147594
182	0.4512446231
183	0.4508968743
184	0.4505612871
185	0.4503491413
186	0.4499161488
187	0.4497074864
188	0.449530596
189	0.4492443436
190	0.4491089022
191	0.4488332925
192	0.4482525634
193	0.4476501458
194	0.4474077325
195	0.4470663782
196	0.4468530962
197	0.4463376498
198	0.4461053943
199	0.4458496516
200	0.4454388692
201	0.4451930899
202	0.4448890843
203	0.4440034699
204	0.4437490801
205	0.4434767745
206	0.4431088541
207	0.4426571585
208	0.4424058582
209	0.4423147619
210	0.4420830688
211	0.4416665169
212	0.4414145351
213	0.4412643503
214	0.4409476137
215	0.4407652341
216	0.4403191351
217	0.4400155673
218	0.4394897748
219	0.4391572719
220	0.4387230895
221	0.4384695441
222	0.4382903817
223	0.4379237311
224	0.4374982865
225	0.4371954997
226	0.437059614
227	0.4368423876
228	0.436729317
229	0.4360969871
230	0.4358901502
231	0.4357137007
232	0.4353538936
233	0.4350672341
234	0.434892292
235	0.434748555
236	0.4344524074
237	0.4341416869
238	0.4336835469
239	0.4334237152
240	0.4331815548
241	0.4329511322
242	0.4324582095
243	0.4322151661
244	0.4316207348
245	0.4313934409
246	0.4312046678
247	0.4308916164
248	0.4302665242
249	0.4301810557
250	0.4296070198
251	0.429328056
