iter	Passed	Remaining
0	0	215
1	1	231
2	2	215
3	3	218
4	4	215
5	5	210
6	5	207
7	6	206
8	7	203
9	8	201
10	9	199
11	10	207
12	11	205
13	12	203
14	12	200
15	13	198
16	14	196
17	15	195
18	15	192
19	16	191
20	17	189
21	18	188
22	19	188
23	50	479
24	52	469
25	53	457
26	54	447
27	55	436
28	55	426
29	56	415
30	57	406
31	58	396
32	58	387
33	59	379
34	60	371
35	61	364
36	62	356
37	62	350
38	63	344
39	64	340
40	65	335
41	66	329
42	67	324
43	68	319
44	68	314
45	69	309
46	70	304
47	71	300
48	72	296
49	73	292
50	73	288
51	74	284
52	75	280
53	76	276
54	76	272
55	77	269
56	78	265
57	79	262
58	80	259
59	81	256
60	81	253
61	82	251
62	83	248
63	84	245
64	85	243
65	86	240
66	87	237
67	87	235
68	88	232
69	89	229
70	90	227
71	91	225
72	92	223
73	92	220
74	93	218
75	94	215
76	94	213
77	95	210
78	96	209
79	97	206
80	98	206
81	99	204
82	100	202
83	101	200
84	102	198
85	103	196
86	104	195
87	105	193
88	105	191
89	106	189
90	107	188
91	108	186
92	109	185
93	110	183
94	111	181
95	112	179
96	112	178
97	113	176
98	114	175
99	115	173
100	116	171
101	117	170
102	118	168
103	118	166
104	119	165
105	120	163
106	121	162
107	122	160
108	122	158
109	123	157
110	124	155
111	125	154
112	125	152
113	126	151
114	127	149
115	128	148
116	129	146
117	129	145
118	130	143
119	131	142
120	132	141
121	133	139
122	133	138
123	134	136
124	135	135
125	136	133
126	136	132
127	137	131
128	138	129
129	138	128
130	139	126
131	140	125
132	141	124
133	141	122
134	142	121
135	143	120
136	144	118
137	145	117
138	145	116
139	146	115
140	147	113
141	147	112
142	148	111
143	149	110
144	150	108
145	151	107
146	151	106
147	152	105
148	153	103
149	153	102
150	154	101
151	155	100
152	156	98
153	156	97
154	157	96
155	158	95
156	159	94
157	160	93
158	160	92
159	161	91
160	162	89
161	163	88
162	164	87
163	165	86
164	165	85
165	166	84
166	167	83
167	168	82
168	168	80
169	169	79
170	170	78
171	170	77
172	171	76
173	172	75
174	173	74
175	173	73
176	174	72
177	175	71
178	176	69
179	177	68
180	177	67
181	178	66
182	179	65
183	180	64
184	181	63
185	181	62
186	182	61
187	183	60
188	183	59
189	184	58
190	185	57
191	186	56
192	186	55
193	187	54
194	188	53
195	189	52
196	189	51
197	190	50
198	191	49
199	192	48
200	193	47
201	194	46
202	195	45
203	196	44
204	197	43
205	198	42
206	199	41
207	199	40
208	200	39
209	201	38
210	202	37
211	203	36
212	203	35
213	204	34
214	205	33
215	206	32
216	207	31
217	208	30
218	209	29
219	210	28
220	210	27
221	211	26
222	212	25
223	213	24
224	213	23
225	214	22
226	215	21
227	216	20
228	217	19
229	217	18
230	218	17
231	219	17
232	220	16
233	221	15
234	222	14
235	222	13
236	223	12
237	224	11
238	225	10
239	226	9
240	227	8
241	227	7
242	228	6
243	229	5
244	230	4
245	231	3
246	232	2
247	232	1
248	233	0
249	234	0
