lang_DE,lang_ES,lang_FR,lang_JA,lang_ZH,lang_infrequent
1,1,0,1,2,2
1,0,1,0,0,1
0,0,0,1,2,1
1,0,0,0,2,1
0,1,0,0,0,2
1,1,1,0,0,4
1,1,1,0,0,4
0,0,0,1,1,0
0,1,1,0,0,1
0,0,0,0,0,1
0,0,0,0,2,0
1,1,1,1,2,24
1,1,1,0,0,1
1,0,1,0,0,1
1,1,1,1,1,2
0,0,0,1,2,1
1,1,1,0,0,1
1,1,1,1,2,4
1,1,1,1,2,4
1,0,0,0,1,0
0,1,1,1,0,1
1,1,1,1,2,4
1,1,1,0,0,5
1,1,1,0,0,5
0,0,0,0,1,0
1,0,0,0,0,0
1,1,1,1,3,16
1,1,1,0,0,2
1,1,1,1,2,4
0,0,0,0,2,0
1,1,1,0,0,2
1,1,1,1,2,11
1,1,1,1,2,23
0,0,0,1,2,1
0,1,1,0,0,1
1,1,1,1,2,7
0,0,0,1,0,0
0,0,0,1,0,1
1,1,1,0,2,2
1,0,1,0,0,1
0,0,0,1,0,0
1,0,1,0,0,0
0,0,0,1,0,1
0,0,0,1,2,1
0,0,0,0,2,0
1,0,0,0,0,1
0,0,0,1,2,0
1,1,1,1,2,4
1,1,1,1,3,7
1,1,1,1,2,11
1,1,1,1,2,15
1,1,1,1,0,4
1,1,1,1,1,7
1,1,1,1,1,3
0,0,0,0,2,2
0,1,0,1,0,6
1,1,1,1,1,5
1,1,1,1,2,9
0,0,0,1,1,0
1,0,1,1,2,1
1,1,1,1,2,15
1,0,1,0,0,2
0,0,0,0,0,1
1,1,1,1,2,24
0,0,0,1,2,4
1,1,1,1,0,3
1,1,1,1,2,3
1,1,1,1,0,1
1,1,1,1,1,4
1,1,1,1,2,4
1,1,1,0,0,1
1,1,1,1,2,18
1,1,1,1,2,3
1,1,1,0,1,4
0,0,0,1,2,0
1,0,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,1
0,0,0,0,2,0
1,0,0,0,1,1
1,1,1,1,1,2
1,1,1,0,0,1
1,1,1,1,2,15
1,1,1,1,3,10
1,1,1,1,1,4
1,0,1,1,2,2
0,0,0,1,2,1
1,1,1,0,0,5
1,1,1,1,2,18
0,1,0,1,2,4
1,1,1,1,2,11
1,1,1,1,3,20
0,0,0,1,1,0
1,1,1,1,2,3
1,1,1,0,0,3
1,1,1,0,0,2
1,1,1,1,0,3
0,0,0,0,1,0
1,1,1,1,1,2
1,0,0,0,0,0
1,1,1,1,2,17
1,1,1,0,0,3
0,0,0,0,1,0
1,0,1,0,0,0
0,0,0,0,0,1
1,1,1,1,1,5
0,0,0,0,1,2
1,1,1,1,2,4
0,1,0,0,0,1
1,1,0,0,0,2
1,1,1,0,0,7
0,1,0,0,0,0
1,0,1,0,0,2
1,1,1,1,0,1
1,1,1,1,2,8
1,1,1,1,1,6
1,1,1,1,2,15
1,1,1,0,0,6
1,1,1,0,0,2
1,1,1,0,0,2
1,0,1,1,0,3
0,0,0,1,0,1
0,0,1,0,0,0
0,1,1,0,0,1
1,1,1,1,0,1
0,0,0,1,2,1
1,0,0,0,0,0
1,1,1,1,2,2
1,1,1,1,2,18
0,0,0,0,2,0
1,1,1,1,1,4
1,1,1,0,0,4
1,1,1,1,2,9
0,0,0,1,2,3
1,1,0,0,0,1
1,1,1,0,1,5
