User Rating Count,Price,Age Rating,Size,Average User Rating,game_age,last_update,maintaning_period,purchases_count,lowest_purchase,highest_purchase,average_purchase,name_word_count,name_sia,sub_word_count,sub_sia,desc_word_count,excitement_score,attractive_score,icon_objects,Icon1,Icon2,Icon3,Icon4,Icon5,Icon6,Icon7,Icon8,dev_freq,dev_avg,lowest_review,highest_review,average_review
205,5.99,4.0,298156032,4.5,2747.0,1451.0,1296.0,1,0.0,0.0,0.0,1,0.0,1,0.0,410,0.16799999999999998,0.0,298.0,0.13174631389340236,0.21085609761039323,0.01592475868850303,0.12487989488044937,-0.1829126020869201,0.07880263093772359,-0.09911470316668876,0.11342809797532467,1,4.147297434005542,0.8655,0.9754,0.9134625000000001
9,0.0,4.0,29981696,3.5,2041.0,1906.0,135.0,1,0.0,0.0,0.0,2,0.0,5,0.0,60,0.188,0.0,211.0,-0.023395974780109824,-0.31519725015266425,0.08554046613454014,0.2764799770870715,0.27080218020593805,0.031151116717275384,-0.12140915187367748,-0.023836225825350957,1,4.147297434005542,0.0,0.8456,0.4709666666666667
12,1.99,4.0,223058944,4.0,4117.0,1881.0,2236.0,1,0.0,0.0,0.0,3,0.0,4,0.0,85,0.14100000000000001,0.0,1114.0,-0.056387760121973385,-0.2595937576149961,0.20719062137776217,0.21930195823814708,-0.01221904684588937,0.01641229942824839,-0.15517097943431613,0.11875138275582169,1,4.147297434005542,-0.4215,0.9915,0.6895285714285714
6,0.0,4.0,49547264,3.0,3439.0,2361.0,1078.0,1,0.99,0.99,0.99,3,0.825,1,0.0,127,0.356,0.0,1744.0,-0.20131114604376732,0.014205362651057603,0.07311363876536453,0.1947109765193588,-0.10597623249933741,0.05738781789352422,-0.2670886874168346,0.16095799349704315,1,4.147297434005542,0.1779,0.8689,0.511225
59,0.0,4.0,24093696,4.0,2987.0,1616.0,1371.0,1,0.0,0.0,0.0,2,0.0,1,0.0,107,0.311,0.0,1844.0,0.06030726944699309,-0.01125195330270932,-0.05073094892650447,-0.04276785373556061,0.1507923524358671,-0.005098173590877065,-0.005285431262743934,0.04122677061411012,5,4.183503061394289,-0.4472,0.9875,0.5371111111111112
21934,0.0,12.0,186245120,4.5,3169.0,1480.0,1689.0,10,4.99,99.99,21.990000000000002,2,0.0,4,0.0,292,0.218,0.005952380952380952,1853.0,-0.3079865608866846,0.13083910328727683,0.045686409354408805,0.05318664015043996,-0.048638271571247754,-0.04608481519183376,0.06141867310874699,-0.177821778952579,1,4.147297434005542,-0.8836,0.9903,0.9605375
157,0.0,4.0,339637248,4.5,1980.0,1437.0,543.0,3,3.99,5.99,5.323333333333333,3,0.0,3,0.0,203,0.299,0.0037735849056603774,5366.0,-0.3437805188389864,0.1282859514886622,-0.02977056135263966,-0.05999377599166147,0.027166893792185703,0.01658960164027301,-0.05355868346858759,0.05434319867690103,5,4.2797494516416705,0.0,0.9819,0.71769
16,3.99,9.0,19463168,4.5,2000.0,1985.0,15.0,1,0.0,0.0,0.0,6,0.674,1,0.0,106,0.264,0.0,573.0,0.5767707932059281,-0.18861097720480205,-0.06388606115599402,-0.02008391826615126,0.022303644566473983,0.36243761314564715,0.027292885786312476,-0.06578039755124461,6,3.94758953001377,0.2732,0.987,0.6888222222222222
14,0.0,9.0,14385152,4.5,3337.0,2215.0,1122.0,10,0.99,8.99,3.2900000000000005,3,0.0,1,0.0,84,0.27,0.0,3496.0,0.27045119704499243,0.10934095283888612,-0.18744913106307984,-0.005212619345015868,0.07644780586685898,0.007488681344214462,0.07963310836686137,-0.011594634522010934,2,4.235863635812898,0.0772,0.9638,0.5910500000000001
24,0.0,4.0,104600576,4.0,4014.0,1537.0,2477.0,1,0.0,0.0,0.0,1,0.0,3,0.0,208,0.07200000000000001,0.0,2103.0,-0.2616665809670818,-0.0949339506646333,-0.050783048464324215,-0.07798349118312432,-0.14341284603578092,0.048510191042309796,-0.0034406861585741747,-0.07173998659072761,2,3.9468131384379013,-0.3612,0.9657,0.7980399999999999
