lang_DE,lang_ES,lang_FR,lang_IT,lang_JA,lang_KO,lang_NL,lang_PT,lang_RU,lang_TR,lang_ZH,lang_infrequent
1,1,1,0,1,1,0,0,0,0,2,2
1,1,1,1,0,0,0,0,1,0,0,1
1,1,1,1,1,1,1,1,1,1,2,9
0,0,0,0,1,0,0,0,0,0,1,0
0,0,0,0,1,1,0,0,0,0,2,0
0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,2,0
1,1,1,1,1,1,1,1,1,1,2,12
0,0,0,0,0,0,0,0,0,0,2,0
0,0,0,0,1,0,0,0,0,0,2,0
1,1,0,0,1,0,0,1,1,0,0,0
1,1,1,1,1,1,1,1,1,1,2,22
1,0,1,0,1,1,0,0,0,0,1,0
1,1,1,1,1,1,1,1,1,1,2,11
1,1,1,1,0,0,0,1,0,0,2,1
0,0,0,0,1,1,0,0,0,0,2,0
1,1,1,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,2,0
0,0,0,0,1,1,0,0,0,0,2,0
1,0,1,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,2,12
0,1,1,1,1,0,0,0,0,0,0,0
0,1,1,0,0,0,1,1,0,0,0,2
1,1,1,1,0,0,0,1,1,1,0,0
1,1,1,1,1,1,1,1,1,1,2,18
0,1,1,1,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,2,7
1,1,1,1,1,1,1,1,1,1,0,14
0,1,0,0,1,1,0,1,0,0,2,0
1,1,1,1,1,1,1,1,1,1,2,12
0,0,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,1,0,2,0
0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,0
1,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0,0,0,2,0
0,0,0,0,1,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,2,3
1,1,1,1,1,0,0,1,1,0,2,0
1,1,1,1,1,0,0,1,1,0,0,0
1,1,0,1,0,0,0,1,0,0,0,2
1,1,1,1,0,0,0,1,1,1,2,1
1,1,1,1,0,0,1,1,1,1,0,11
1,1,1,1,1,1,1,1,1,0,1,0
1,1,1,1,1,1,0,1,1,0,2,1
0,0,1,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,0,0,0,1,0
1,1,1,1,0,0,0,0,1,0,0,0
1,1,1,1,0,0,0,1,1,0,0,0
1,1,1,0,0,1,0,0,1,0,2,1
0,0,1,0,1,0,0,0,0,0,2,0
